Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
Starlink-2330 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2331 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2332 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2333 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2334 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2335 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2336 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2337 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2338 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2339 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2340 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2341 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2342 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2343 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2344 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2345 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2346 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2347 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2348 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2349 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2351 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
